	Strategy	Query	Class	Value
341	GraphDensity	q0	adventure	4
342	GraphDensity	q0	horror	2
343	GraphDensity	q0	thriller	7
344	GraphDensity	q0	unknown	28
345	GraphDensity	q0	crime drama	0
346	GraphDensity	q0	romance	1
347	GraphDensity	q0	drama	26
348	GraphDensity	q0	western	5
349	GraphDensity	q0	comedy	21
350	GraphDensity	q1	musical	5
351	GraphDensity	q1	crime	5
352	GraphDensity	q1	action	5
353	GraphDensity	q1	mystery	2
354	GraphDensity	q1	film noir	1
355	GraphDensity	q1	adventure	4
356	GraphDensity	q1	horror	2
357	GraphDensity	q1	thriller	2
358	GraphDensity	q1	unknown	30
359	GraphDensity	q1	crime drama	1
360	GraphDensity	q1	romance	3
361	GraphDensity	q1	drama	13
362	GraphDensity	q1	western	2
363	GraphDensity	q1	comedy	25
364	GraphDensity	q2	musical	2
365	GraphDensity	q2	crime	6
366	GraphDensity	q2	action	3
367	GraphDensity	q2	mystery	2
368	GraphDensity	q2	film noir	3
369	GraphDensity	q2	adventure	1
370	GraphDensity	q2	horror	1
371	GraphDensity	q2	thriller	2
372	GraphDensity	q2	unknown	28
373	GraphDensity	q2	crime drama	0
374	GraphDensity	q2	romance	6
375	GraphDensity	q2	drama	26
376	GraphDensity	q2	western	3
377	GraphDensity	q2	comedy	17
378	GraphDensity	q3	musical	0
379	GraphDensity	q3	crime	5
380	GraphDensity	q3	action	4
381	GraphDensity	q3	mystery	1
382	GraphDensity	q3	film noir	2
383	GraphDensity	q3	adventure	1
384	GraphDensity	q3	horror	5
385	GraphDensity	q3	thriller	5
386	GraphDensity	q3	unknown	23
387	GraphDensity	q3	crime drama	1
388	GraphDensity	q3	romance	4
389	GraphDensity	q3	drama	24
390	GraphDensity	q3	western	6
391	GraphDensity	q3	comedy	19
392	GraphDensity	q4	musical	0
393	GraphDensity	q4	crime	5
394	GraphDensity	q4	action	2
395	GraphDensity	q4	mystery	2
396	GraphDensity	q4	film noir	0
397	GraphDensity	q4	adventure	3
398	GraphDensity	q4	horror	2
