	Strategy	Query	Class	Value
321	QBC	q6	comedy	7
322	QBC	q7	thriller	1
323	QBC	q7	crime drama	2
324	QBC	q7	unknown	21
325	QBC	q7	crime	1
326	QBC	q7	horror	0
327	QBC	q7	drama	45
328	QBC	q7	musical	2
329	QBC	q7	romance	5
330	QBC	q7	adventure	1
331	QBC	q7	western	2
332	QBC	q7	film noir	1
333	QBC	q7	action	1
334	QBC	q7	mystery	3
335	QBC	q7	comedy	15
336	GraphDensity	q0	thriller	7
337	GraphDensity	q0	crime drama	0
338	GraphDensity	q0	unknown	28
339	GraphDensity	q0	crime	0
340	GraphDensity	q0	horror	2
341	GraphDensity	q0	drama	26
342	GraphDensity	q0	musical	3
343	GraphDensity	q0	romance	1
344	GraphDensity	q0	adventure	4
345	GraphDensity	q0	western	5
346	GraphDensity	q0	film noir	2
347	GraphDensity	q0	action	1
348	GraphDensity	q0	mystery	0
349	GraphDensity	q0	comedy	21
350	GraphDensity	q1	thriller	5
351	GraphDensity	q1	crime drama	1
352	GraphDensity	q1	unknown	23
353	GraphDensity	q1	crime	6
354	GraphDensity	q1	horror	2
355	GraphDensity	q1	drama	26
356	GraphDensity	q1	musical	3
357	GraphDensity	q1	romance	2
358	GraphDensity	q1	adventure	2
359	GraphDensity	q1	western	3
360	GraphDensity	q1	film noir	3
361	GraphDensity	q1	action	5
362	GraphDensity	q1	mystery	2
363	GraphDensity	q1	comedy	17
364	GraphDensity	q2	thriller	3
365	GraphDensity	q2	crime drama	0
366	GraphDensity	q2	unknown	31
367	GraphDensity	q2	crime	2
368	GraphDensity	q2	horror	3
369	GraphDensity	q2	drama	20
370	GraphDensity	q2	musical	2
371	GraphDensity	q2	romance	6
372	GraphDensity	q2	adventure	0
373	GraphDensity	q2	western	5
374	GraphDensity	q2	film noir	1
375	GraphDensity	q2	action	6
376	GraphDensity	q2	mystery	4
377	GraphDensity	q2	comedy	17
378	GraphDensity	q3	thriller	3
379	GraphDensity	q3	crime drama	2
380	GraphDensity	q3	unknown	27
381	GraphDensity	q3	crime	6
382	GraphDensity	q3	horror	4
383	GraphDensity	q3	drama	21
384	GraphDensity	q3	musical	3
385	GraphDensity	q3	romance	2
386	GraphDensity	q3	adventure	0
387	GraphDensity	q3	western	5
388	GraphDensity	q3	film noir	1
389	GraphDensity	q3	action	3
390	GraphDensity	q3	mystery	1
391	GraphDensity	q3	comedy	22
392	GraphDensity	q4	thriller	3
393	GraphDensity	q4	crime drama	0
394	GraphDensity	q4	unknown	30
