	Strategy	Query	Class	Value
281	Uncertainty	q6	rec.autos	1
282	Uncertainty	q6	comp.sys.ibm.pc.hardware	3
283	Uncertainty	q6	comp.os.ms-windows.misc	2
284	Uncertainty	q6	alt.atheism	0
285	Uncertainty	q6	talk.politics.mideast	0
286	Uncertainty	q6	comp.graphics	47
287	Uncertainty	q6	sci.space	0
288	Uncertainty	q6	rec.sport.baseball	21
289	Uncertainty	q6	misc.forsale	8
290	Uncertainty	q6	talk.politics.guns	0
291	Uncertainty	q6	rec.motorcycles	10
292	Uncertainty	q6	comp.windows.x	3
293	Uncertainty	q6	sci.crypt	0
294	Uncertainty	q6	comp.sys.mac.hardware	2
295	Uncertainty	q6	talk.politics.misc	0
296	Uncertainty	q6	sci.med	0
297	Uncertainty	q6	talk.religion.misc	1
298	Uncertainty	q6	sci.electronics	0
299	Uncertainty	q6	soc.religion.christian	0
300	Uncertainty	q7	rec.sport.hockey	0
301	Uncertainty	q7	rec.autos	0
302	Uncertainty	q7	comp.sys.ibm.pc.hardware	0
303	Uncertainty	q7	comp.os.ms-windows.misc	1
304	Uncertainty	q7	alt.atheism	0
305	Uncertainty	q7	talk.politics.mideast	0
306	Uncertainty	q7	comp.graphics	62
307	Uncertainty	q7	sci.space	0
308	Uncertainty	q7	rec.sport.baseball	22
309	Uncertainty	q7	misc.forsale	3
310	Uncertainty	q7	talk.politics.guns	0
311	Uncertainty	q7	rec.motorcycles	11
312	Uncertainty	q7	comp.windows.x	0
313	Uncertainty	q7	sci.crypt	1
314	Uncertainty	q7	comp.sys.mac.hardware	0
315	Uncertainty	q7	talk.politics.misc	0
316	Uncertainty	q7	sci.med	0
317	Uncertainty	q7	talk.religion.misc	0
318	Uncertainty	q7	sci.electronics	0
319	Uncertainty	q7	soc.religion.christian	0
320	QBC	q0	rec.sport.hockey	0
321	QBC	q0	rec.autos	5
322	QBC	q0	comp.sys.ibm.pc.hardware	3
323	QBC	q0	comp.os.ms-windows.misc	3
324	QBC	q0	alt.atheism	1
325	QBC	q0	talk.politics.mideast	3
326	QBC	q0	comp.graphics	34
327	QBC	q0	sci.space	3
328	QBC	q0	rec.sport.baseball	7
329	QBC	q0	misc.forsale	6
330	QBC	q0	talk.politics.guns	2
331	QBC	q0	rec.motorcycles	14
332	QBC	q0	comp.windows.x	4
333	QBC	q0	sci.crypt	3
334	QBC	q0	comp.sys.mac.hardware	4
335	QBC	q0	talk.politics.misc	1
336	QBC	q0	sci.med	2
337	QBC	q0	talk.religion.misc	0
338	QBC	q0	sci.electronics	2
339	QBC	q0	soc.religion.christian	3
340	QBC	q1	rec.sport.hockey	0
341	QBC	q1	rec.autos	0
342	QBC	q1	comp.sys.ibm.pc.hardware	0
343	QBC	q1	comp.os.ms-windows.misc	0
344	QBC	q1	alt.atheism	0
345	QBC	q1	talk.politics.mideast	0
346	QBC	q1	comp.graphics	0
347	QBC	q1	sci.space	0
348	QBC	q1	rec.sport.baseball	0
349	QBC	q1	misc.forsale	27
350	QBC	q1	talk.politics.guns	0
351	QBC	q1	rec.motorcycles	67
352	QBC	q1	comp.windows.x	0
353	QBC	q1	sci.crypt	2
354	QBC	q1	comp.sys.mac.hardware	0
355	QBC	q1	talk.politics.misc	0
356	QBC	q1	sci.med	0
357	QBC	q1	talk.religion.misc	4
358	QBC	q1	sci.electronics	0
359	QBC	q1	soc.religion.christian	0
360	QBC	q2	rec.sport.hockey	3
361	QBC	q2	rec.autos	0
362	QBC	q2	comp.sys.ibm.pc.hardware	4
363	QBC	q2	comp.os.ms-windows.misc	7
364	QBC	q2	alt.atheism	6
365	QBC	q2	talk.politics.mideast	0
366	QBC	q2	comp.graphics	40
367	QBC	q2	sci.space	5
368	QBC	q2	rec.sport.baseball	0
369	QBC	q2	misc.forsale	21
370	QBC	q2	talk.politics.guns	1
371	QBC	q2	rec.motorcycles	3
372	QBC	q2	comp.windows.x	1
373	QBC	q2	sci.crypt	0
374	QBC	q2	comp.sys.mac.hardware	0
375	QBC	q2	talk.politics.misc	0
376	QBC	q2	sci.med	3
377	QBC	q2	talk.religion.misc	0
378	QBC	q2	sci.electronics	6
379	QBC	q2	soc.religion.christian	0
380	QBC	q3	rec.sport.hockey	0
381	QBC	q3	rec.autos	0
382	QBC	q3	comp.sys.ibm.pc.hardware	0
383	QBC	q3	comp.os.ms-windows.misc	0
384	QBC	q3	alt.atheism	0
385	QBC	q3	talk.politics.mideast	0
386	QBC	q3	comp.graphics	70
387	QBC	q3	sci.space	7
388	QBC	q3	rec.sport.baseball	0
389	QBC	q3	misc.forsale	0
390	QBC	q3	talk.politics.guns	12
391	QBC	q3	rec.motorcycles	0
392	QBC	q3	comp.windows.x	0
393	QBC	q3	sci.crypt	2
394	QBC	q3	comp.sys.mac.hardware	0
395	QBC	q3	talk.politics.misc	0
396	QBC	q3	sci.med	9
397	QBC	q3	talk.religion.misc	0
398	QBC	q3	sci.electronics	0
